id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name
295246830,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,C=Cc1ccc(N)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246831,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,C=Cc1ccc(N)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246832,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,C=Cc1ccc(N)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246833,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],BRD4
295246834,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],HSA
295246835,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],sEH
295246836,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246837,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246838,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246839,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],BRD4
295246840,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],HSA
295246841,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],sEH
295246842,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CSC1CCC(CN)CC1,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246843,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CSC1CCC(CN)CC1,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246844,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,CSC1CCC(CN)CC1,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246845,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246846,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246847,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246848,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1cccc(NC(=O)COc2ccc(CCN)cc2)c1.Cl,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246849,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1cccc(NC(=O)COc2ccc(CCN)cc2)c1.Cl,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246850,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1cccc(NC(=O)COc2ccc(CCN)cc2)c1.Cl,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246851,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccoc1C(=O)NCCCN.Cl,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246852,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccoc1C(=O)NCCCN.Cl,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246853,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cc1ccoc1C(=O)NCCCN.Cl,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246854,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.Cl.NCc1nnc(N2CCCC2)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246855,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.Cl.NCc1nnc(N2CCCC2)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246856,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.Cl.NCc1nnc(N2CCCC2)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246857,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCCc1csc2ccccc12,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246858,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCCc1csc2ccccc12,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246859,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCCc1csc2ccccc12,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246860,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NC[C@H]1CC[C@H](c2ccccc2)O1,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246861,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NC[C@H]1CC[C@H](c2ccccc2)O1,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246862,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NC[C@H]1CC[C@H](c2ccccc2)O1,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246863,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Br)ccc1OC(F)F,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246864,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Br)ccc1OC(F)F,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246865,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Br)ccc1OC(F)F,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246866,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Cl)sc1Cl,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246867,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Cl)sc1Cl,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246868,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1cc(Cl)sc1Cl,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246869,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1nnc(S)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246870,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1nnc(S)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246871,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Cl.NCc1nnc(S)o1,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246872,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCCN1C(=O)Cc2ccccc21,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246873,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCCN1C(=O)Cc2ccccc21,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246874,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCCN1C(=O)Cc2ccccc21,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246875,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCc1ccncc1,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],BRD4
295246876,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCc1ccncc1,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],HSA
295246877,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,NCc1ccncc1,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],sEH
295246878,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cc(C(F)(F)F)ccn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],BRD4
