id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name
295246879,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cc(C(F)(F)F)ccn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],HSA
295246880,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cc(C(F)(F)F)ccn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],sEH
295246881,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc(N2CCCCC2)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],BRD4
295246882,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc(N2CCCCC2)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],HSA
295246883,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc(N2CCCCC2)cc1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],sEH
295246884,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc2[nH]cnc2c1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],BRD4
295246885,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc2[nH]cnc2c1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],HSA
295246886,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ccc2[nH]cnc2c1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],sEH
295246887,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cccc2cn[nH]c12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],BRD4
295246888,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cccc2cn[nH]c12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],HSA
295246889,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1cccc2cn[nH]c12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],sEH
295246890,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1nccnn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],BRD4
295246891,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1nccnn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],HSA
295246892,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1nccnn1,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],sEH
295246893,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],BRD4
295246894,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],HSA
295246895,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C=Cc1ccc(N)cc1,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],sEH
295246896,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],BRD4
295246897,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],HSA
295246898,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC(O)Cn1cnc2c(N)ncnc21,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],sEH
295246899,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],BRD4
295246900,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],HSA
295246901,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],sEH
295246902,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],BRD4
295246903,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],HSA
295246904,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],sEH
295246905,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],BRD4
295246906,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],HSA
295246907,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],sEH
295246908,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],BRD4
295246909,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],HSA
295246910,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(O)Cn1cnc2c(N)ncnc21,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],sEH
295246911,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],BRD4
295246912,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],HSA
295246913,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],sEH
295246914,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],BRD4
295246915,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],HSA
295246916,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],sEH
295246917,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],BRD4
295246918,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],HSA
295246919,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC1(C)CCCC1(O)CN,Nc1ncnn2cccc12,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],sEH
295246920,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],BRD4
295246921,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],HSA
295246922,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,CC1(C)CCCC1(O)CN,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],sEH
295246923,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],BRD4
295246924,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],HSA
295246925,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,COC(=O)c1cc(Cl)sc1N,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],sEH
295246926,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],BRD4
295246927,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],HSA
295246928,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,COC(=O)c1cc(Cl)sc1N,Cc1ccc(CN)c(N2CCCC2)c1.Cl.Cl,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],sEH
